x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
178.899, 0.024, 24.816, 0.168, 0.007, 178.899, -3.976, 24.816, 0.168, 0.007, 242.004, 0.0, 22.036, 0.0, 0.0, 219.247, 4.345, 21.182, 2.445, 0.115, 0.015, 0.616, 0
182.004, 0.078, 24.89, 0.4, 0.016, 182.004, -3.922, 24.89, 0.4, 0.016, 244.755, 0.0, 21.941, 0.0, 0.0, 221.832, 4.931, 20.575, 4.058, 0.195, -0.009, 3.315, 0
185.133, 0.109, 25.307, 0.269, 0.011, 185.133, -3.891, 25.307, 0.269, 0.011, 247.494, 0.0, 21.845, 0.0, 0.0, 224.376, 5.502, 20.164, 4.345, 0.212, -0.024, 5.679, 0
188.326, 0.089, 26.018, -0.12, -0.005, 188.326, -3.911, 26.018, -0.12, -0.005, 250.22, 0.0, 21.746, 0.0, 0.0, 270.581, 4.0, 18.79, 0.0, 0.0, 0.012, 9.533, 0
191.628, 0.101, 27.209, 0.082, 0.003, 191.628, -3.899, 27.209, 0.082, 0.003, 252.934, 0.0, 21.645, 0.0, 0.0, 272.913, 4.0, 18.398, 0.0, 0.0, -0.007, 11.417, 0
195.088, 0.092, 28.637, -0.062, -0.002, 195.088, -3.908, 28.637, -0.062, -0.002, 255.636, 0.0, 21.54, 0.0, 0.0, 275.199, 4.0, 18.086, 0.0, 0.0, -0.007, 10.431, 0
198.722, 0.066, 29.94, -0.214, -0.007, 198.722, -3.934, 29.94, -0.214, -0.007, 258.324, 0.0, 21.432, 0.0, 0.0, 277.449, 4.0, 17.837, 0.0, 0.0, -0.01, 6.886, 0
202.5, 0.011, 30.798, -0.448, -0.015, 202.5, -3.989, 30.798, -0.448, -0.015, 260.998, 0.0, 21.323, 0.0, 0.0, 279.67, 4.0, 17.637, 0.0, 0.0, 0.005, 12.601, 0
206.416, -0.032, 32.375, -0.353, -0.011, 206.416, -4.032, 32.375, -0.353, -0.011, 263.659, 0.0, 21.213, 0.0, 0.0, 281.867, 4.0, 17.477, 0.0, 0.0, -0.001, 8.962, 0
210.509, -0.079, 33.495, -0.386, -0.012, 210.509, -4.079, 33.495, -0.386, -0.012, 266.306, 0.0, 21.105, 0.0, 0.0, 284.046, 4.0, 17.349, 0.0, 0.0, 0.009, 5.149, 0
214.723, -0.098, 34.14, -0.138, -0.004, 214.723, -4.098, 34.14, -0.138, -0.004, 268.94, 0.0, 20.998, 0.0, 0.0, 286.21, 4.0, 17.248, 0.0, 0.0, -0.011, 9.111, 0
219.038, -0.152, 35.276, -0.464, -0.013, 219.038, -4.152, 35.276, -0.464, -0.013, 271.56, 0.0, 20.894, 0.0, 0.0, 288.363, 4.0, 17.17, 0.0, 0.0, 0.03, 4.934, 0
223.473, -0.103, 35.893, 0.495, 0.014, 223.473, -4.103, 35.893, 0.495, 0.014, 274.167, 0.0, 20.792, 0.0, 0.0, 290.507, 4.0, 17.111, 0.0, 0.0, -0.024, 3.941, 0
227.98, -0.127, 36.388, -0.282, -0.008, 227.98, -4.127, 36.388, -0.282, -0.008, 276.762, 0.0, 20.694, 0.0, 0.0, 292.644, 4.0, 17.068, 0.0, 0.0, 0.006, 3.587, 0
232.547, -0.14, 36.837, -0.082, -0.002, 232.547, -4.14, 36.837, -0.082, -0.002, 279.345, 0.0, 20.598, 0.0, 0.0, 294.776, 4.0, 17.039, 0.0, 0.0, 0.005, -0.312, 0
237.15, -0.133, 36.798, 0.075, 0.002, 237.15, -4.133, 36.798, 0.075, 0.002, 281.916, 0.0, 20.506, 0.0, 0.0, 296.905, 4.0, 17.021, 0.0, 0.0, 0.002, 5.705, 0
241.78, -0.118, 37.511, 0.129, 0.003, 241.78, -4.118, 37.511, 0.129, 0.003, 284.475, 0.0, 20.417, 0.0, 0.0, 299.032, 4.0, 17.014, 0.0, 0.0, -0.005, 5.24, 0
